Index,T_Avessp245,T_Avessp585,SR_Sumssp245,SR_Sumssp585,WS_Avessp245,WS_Avessp585
L2,0.038549572,0.05935574,0.016410791,0.01085921,0.002841588,-9.23E-05
L3,0.039093304,0.056813168,0.016905212,0.012989283,0.002407694,0.00086914
L4,0.038156358,0.055411233,0.018613559,0.010936022,0.001193953,-0.000176042
L6,0.036335281,0.058520606,0.012288763,0.006558027,-1.23E-05,-0.001433234
L7,0.034982125,0.051176718,0.009133543,0.009402405,-0.000697821,-0.001019413
L10,0.03711015,0.057966812,0.010665523,0.003313051,0.000343299,-0.000343204
L11,0.044197964,0.062605023,-0.000674725,-0.001918685,-0.000768123,-0.0007755
L12,0.038629166,0.055568854,0.016479704,0.012737751,0.001634574,0.000901733
L14,0.039457304,0.060035442,0.002232612,-0.002047878,-0.00343356,-0.001620855
L15,0.039257129,0.055481685,0.017263385,0.012324867,0.001078714,0.000490716
L16,0.032600284,0.048276552,0.002774477,0.004189905,0.000430322,-0.000407959
L17,0.043252015,0.067016476,0.001685619,-0.005171514,-0.002529593,-0.001644897
L18,0.03015071,0.043912756,0.008201122,0.008542935,0.000510568,0.002401672
L19,0.03673936,0.058595607,0.007249024,0.001498042,-0.001002717,-0.001223758
L20,0.028785968,0.041973631,0.007778308,0.008402665,0.000556571,0.00223065
L22,0.037398636,0.05643487,0.017334914,0.014393159,0.000417316,0.000814393
L23,0.038640295,0.057146242,0.013193761,0.010037118,0.002168998,0.000217994
L25,0.032663743,0.049031713,0.003983895,0.007235331,0.000737273,5.48E-05
L26,0.036340237,0.050268378,0.015593926,0.01059482,0.001536392,0.00051094
L28,0.033264941,0.053251863,0.012607365,0.011675921,-0.000454129,0.001032025
L29,0.038309288,0.05927825,0.017305565,0.009905216,6.45E-05,-0.000971748
L30,0.034096837,0.047737326,0.014001796,0.011011176,0.0010729,0.000595149
L31,0.0398151,0.05540165,0.017783988,0.01238505,0.001342113,0.000203982
L32,0.037199118,0.056605439,0.017388784,0.014224878,0.000310873,0.000856748
L34,0.032509162,0.048150682,0.003203895,0.004813557,0.000751086,0.00017817
L37,0.032342043,0.048181102,0.004014464,0.007407871,0.000509545,-8.47E-07
L38,0.038868819,0.056897618,0.017434301,0.013815517,0.001580162,0.000738667
L39,0.037980618,0.056476105,0.016637087,0.013839277,0.000659846,0.000859652
L41,0.037703589,0.05885769,0.016023191,0.009114507,0.000182933,-0.001134379
L42,0.038522498,0.054922031,0.018260157,0.010822018,0.001271439,5.78E-05
L43,0.03277541,0.050602748,0.009687396,0.010186542,-0.000978664,0.001229393
L44,0.037655636,0.054346807,0.014032939,0.011385412,0.0008717,0.000823867
L45,0.033448776,0.050765428,0.009269269,0.009822745,-0.001117769,0.001164429
L47,0.037131811,0.059269528,0.014132044,0.008153258,0.000431842,-0.001076653
L48,0.034999868,0.05077529,0.008972838,0.009542746,-0.00052169,-0.000865853
L51,0.038470602,0.056210779,0.017756383,0.014265015,0.001315085,0.000846119
L52,0.038430667,0.056217215,0.019121846,0.011183438,0.001197364,-0.000364757
L53,0.035302254,0.053109674,0.013998505,0.011092147,0.00034712,0.001905801
L54,0.038604077,0.056191188,0.016449727,0.013525554,0.001842774,0.001049387
L55,0.036262671,0.05878199,0.008542818,0.004548801,-0.001394479,-0.002143224
L58,0.038516951,0.05577774,0.016183784,0.013316472,0.001370525,0.001130364
L59,0.038776453,0.055627759,0.01138657,0.009564668,0.001102135,0.000402632
L60,0.04024358,0.056956512,0.018177433,0.011678324,0.001814446,-0.000319144
L62,0.037519327,0.061598591,0.004532008,0.000538831,-0.001126643,-0.001576546
L64,0.03726326,0.053892263,0.015372837,0.007880883,6.23E-05,-0.000317724
