,TP
2018-01-15,0.0001
2018-02-15,0.0001
2018-03-15,0.0045
2018-04-15,0.0001
2018-05-15,0.0001
2018-06-15,0.0001
2018-07-15,0.0125
2018-08-15,0.0095
2018-09-15,0.0025
2018-10-15,0.0025
2018-11-15,0.0001
2018-12-15,0.0001
2019-01-15,0.0001
2019-02-15,0.0001
2019-03-15,0.007
2019-04-15,0.0001
2019-05-15,0.0001
2019-06-15,0.0001
2019-07-15,0.015
2019-08-15,0.012
2019-09-15,0.005
2019-10-15,0.005
2019-11-15,0.0001
2019-12-15,0.0001
2020-01-15,0.0025
2020-02-15,0.0025
2020-03-15,0.0095
2020-04-15,0.0025
2020-05-15,0.0025
2020-06-15,0.0025
2020-07-15,0.0175
2020-08-15,0.0145
2020-09-15,0.0075
2020-10-15,0.0075
2020-11-15,0.0025
2020-12-15,0.0025
2021-01-15,0.005
2021-02-15,0.005
2021-03-15,0.012
2021-04-15,0.005
2021-05-15,0.005
2021-06-15,0.005
2021-07-15,0.02
2021-08-15,0.017
2021-09-15,0.01
2021-10-15,0.01
2021-11-15,0.005
2021-12-15,0.005
2022-01-15,0.01
2022-02-15,0.005
2022-03-15,0.005
2022-04-15,0.02
2022-05-15,0.01
2022-06-15,0.005
2022-07-15,0.01
2022-08-15,0.005
2022-09-15,0.01
2022-10-15,0.02
2022-11-15,0.01
2022-12-15,0.01
