Date,TN
2018-01-15,2.605
2018-02-15,1.455
2018-03-15,1.05
2018-04-15,0.94
2018-05-15,0.845
2018-06-15,0.705
2018-07-15,1.055
2018-08-15,0.995
2018-09-15,1.13
2018-10-15,0.955
2018-11-15,0.95
2018-12-15,1.1
2019-01-15,0.985
2019-02-15,1.92
2019-03-15,2.025
2019-04-15,1.02
2019-05-15,0.88
2019-06-15,0.99
2019-07-15,1.23
2019-08-15,1.3
2019-09-15,1.335
2019-10-15,1.405
2019-11-15,1.32
2019-12-15,1.125
2020-01-15,1.635
2020-02-15,1.595
2020-03-15,1.205
2020-04-15,0.805
2020-05-15,0.86
2020-06-15,0.995
2020-07-15,0.835
2020-08-15,0.795
2020-09-15,0.72
2020-10-15,0.725
2020-11-15,0.795
2020-12-15,1.02
2021-01-15,1.2
2021-02-15,0.93
2021-03-15,0.86
2021-04-15,0.74
2021-05-15,0.86
2021-06-15,0.73
2021-07-15,1.22
2021-08-15,2.89
2021-09-15,1.27
2021-10-15,2.1
2021-11-15,3.01
2021-12-15,3.08
2022-01-15,3.12
2022-02-15,3.29
2022-03-15,2.28
2022-04-15,1.64
2022-05-15,0.86
2022-06-15,0.62
2022-07-15,0.93
2022-08-15,0.93
2022-09-15,0.69
2022-10-15,0.65
2022-11-15,0.72
2022-12-15,0.95
