,TN
2018-01-15,2.49667
2018-02-15,2.28333
2018-03-15,2.19
2018-04-15,2.1
2018-05-15,1.68
2018-06-15,1.85
2018-07-15,2.07
2018-08-15,2.29
2018-09-15,2.33
2018-10-15,2.0
2018-11-15,2.09
2018-12-15,2.0
2019-01-15,1.76
2019-02-15,1.96
2019-03-15,2.03
2019-04-15,1.91
2019-05-15,1.42
2019-06-15,1.87
2019-07-15,1.74
2019-08-15,1.88
2019-09-15,1.76
2019-10-15,2.38
2019-11-15,1.86
2019-12-15,2.04
2020-01-15,1.76
2020-02-15,2.11
2020-03-15,1.9
2020-04-15,1.92
2020-05-15,1.86
2020-06-15,1.67
2020-07-15,1.79
2020-08-15,1.39
2020-09-15,1.49
2020-10-15,1.44
2020-11-15,1.61
2020-12-15,1.74
2021-01-15,1.5642
2021-02-15,1.9142
2021-03-15,1.7042
2021-04-15,1.7242
2021-05-15,1.6642
2021-06-15,1.4742
2021-07-15,1.5942
2021-08-15,1.1942
2021-09-15,1.2942
2021-10-15,1.2442
2021-11-15,1.4142
2021-12-15,1.5442
2022-01-15,1.3684
2022-02-15,1.7184
2022-03-15,1.5084
2022-04-15,1.5284
2022-05-15,1.4684
2022-06-15,1.2784
2022-07-15,1.3984
2022-08-15,0.9984
2022-09-15,1.0984
2022-10-15,1.0484
2022-11-15,1.2184
2022-12-15,1.3484
