,EPL,YGPL,NPML,IMXL,Nation
2005-01-01,0.0012494554940791808,0.0587363652385432,0.0,0.0,0.0022635819599942644
2005-01-02,0.000841436631630266,0.04673264099554106,0.0,0.0,0.0017246979107573505
2005-01-03,0.0009077142775134377,0.06630300230534708,0.0,0.0,0.0023040048513543374
2005-01-04,0.0005570203527064806,0.04650166910572058,0.0,0.0,0.0015761398580875887
2005-01-05,0.0008831455200068777,0.0584256109880571,0.0,0.0,0.0020718781357801546
2005-01-06,0.0006188965379036434,0.05314060638413042,0.0,0.0,0.00179234355720498
2005-01-07,0.00030980069264685545,0.04688742117456296,0.0,0.0,0.0014633797122054822
2005-01-08,0.0002585822591563303,0.04460820617820072,0.0,0.0,0.0013741770690392826
2005-01-09,0.0002542944023438214,0.052004084590321735,0.0,0.0,0.0015784466709331008
2005-01-10,0.00026236070596284775,0.05031845339000618,0.0,0.0,0.0015354326947361898
2005-01-11,0.00021873716937384087,0.05030214866997193,0.0,0.0,0.001513180646865265
2005-01-12,0.00017191251951342184,0.051573795846331316,0.0,0.0,0.0015252746641137764
2005-01-13,0.00018303356612361547,0.03973381795141308,0.0,0.0,0.0012003886658804976
2005-01-14,0.00017255794260856926,0.03808496863100722,0.0,0.0,0.0011491365520197208
2005-01-15,0.00013948134699129564,0.037466064284983856,0.0,0.0,0.0011153364093252206
2005-01-16,0.00011836303171635433,0.028944716476960133,0.0,0.0,0.0008669615206981729
2005-01-17,0.00011977954737923695,0.022342415327972806,0.0,0.0,0.0006834052227395781
2005-01-18,9.338335397759284e-05,0.022671770604545505,0.0,0.0,0.0006794080622449218
2005-01-19,8.052962065055311e-05,0.023308190843436386,0.0,0.0,0.0006907474437284005
2005-01-20,5.936544225313444e-05,0.023033710996623404,0.0,0.0,0.0006725120433623372
2005-01-21,5.7777396798556e-05,0.02198443596134194,0.0,0.0,0.0006424342692924651
2005-01-22,7.359673320251269e-05,0.028292358633189234,0.0,0.0,0.0008263868284668545
2005-01-23,6.483360425646083e-05,0.021554708563583384,0.0,0.0,0.0006339666924878616
2005-01-24,4.52033361805794e-05,0.014232224285840523,0.0,0.0,0.0004197944882402726
2005-01-25,3.120530899491448e-05,0.017655030769249406,0.0,0.0,0.0005083275552843023
2005-01-26,2.5675650476976266e-05,0.02004444563191289,0.0,0.0,0.0005722509417449825
2005-01-27,2.401078758844045e-05,0.019539096730742844,0.0,0.0,0.0005573152567985944
2005-01-28,2.397838444605725e-05,0.020867382469888205,0.0,0.0,0.000594370284113982
2005-01-29,1.0247806513303052e-05,0.021224365464015977,0.0,0.0,0.0005974727069201817
2005-01-30,8.671359891846266e-06,0.024095585973668975,0.0,0.0,0.000676818107748542
2005-01-31,7.935684562121632e-06,0.020324112889854366,0.0,0.0,0.0005711922178601714
2005-02-01,2.8213058968404157e-06,0.016903988911558608,0.0,0.0,0.00047318428515243056
2005-02-02,0.0,0.015159381858305775,0.0,0.0,0.0004230842293740155
2005-02-03,0.0,0.019992961007607956,0.0,0.0,0.0005579849218043186
