,EPL,YGPL,NPML,IMXL,Nation
2005-01-01,0.001269551558976805,0.06102556096363913,0.0,0.0,0.002298245098311355
2005-01-02,0.0008549701790328024,0.04855400262653341,0.0,0.0,0.0017511089015199433
2005-01-03,0.0009223138251690776,0.06888710073946037,0.0,0.0,0.002339287001617607
2005-01-04,0.0005659793890309691,0.04831402882008688,0.0,0.0,0.001600275919813451
2005-01-05,0.0008973499072525267,0.06070269535251845,0.0,0.0,0.002103605636558119
2005-01-06,0.0006288507820120281,0.05521171256289223,0.0,0.0,0.0018197904328795416
2005-01-07,0.00031478348303375786,0.04871481522044356,0.0,0.0,0.0014857890325972794
2005-01-08,0.00026274125952569486,0.046346769919293866,0.0,0.0,0.0013952203935833625
2005-01-09,0.00025838443743256235,0.05403089587917507,0.0,0.0,0.001602618057809167
2005-01-10,0.0002665804783345732,0.052279568755691994,0.0,0.0,0.0015589453913448688
2005-01-11,0.0002222553069722504,0.05226262857421491,0.0,0.0,0.0015363525889411634
2005-01-12,0.0001746775360868228,0.05358383702778526,0.0,0.0,0.0015486318067258619
2005-01-13,0.00018597745203287273,0.04128240690183092,0.0,0.0,0.0012187706989126878
2005-01-14,0.0001753333400754618,0.03956929519814222,0.0,0.0,0.0011667337408787384
2005-01-15,0.00014172474518709205,0.03892626962538979,0.0,0.0,0.0011324160030442949
2005-01-16,0.00012026676592547429,0.030072810136723926,0.0,0.0,0.0008802376501419825
2005-01-17,0.00012170606462530755,0.023213190382734804,0.0,0.0,0.0006938704809812122
2005-01-18,9.488531859400727e-05,0.02355538197779786,0.0,0.0,0.0006898121103649211
2005-01-19,8.182484764378608e-05,0.02421660610920604,0.0,0.0,0.0007013251363444854
2005-01-20,6.032026760373597e-05,0.02393142866322434,0.0,0.0,0.0006828104899796786
2005-01-21,5.87066802513734e-05,0.022841259100073116,0.0,0.0,0.0006522721228933926
2005-01-22,7.478045261764947e-05,0.02939502724696783,0.0,0.0,0.0008390416213768674
2005-01-23,6.58763787489168e-05,0.022394783472867427,0.0,0.0,0.00064367487868943
2005-01-24,4.5930380226388754e-05,0.014786912116138425,0.0,0.0,0.000426222969588773
