Index,Rate_Grow_Fb,Rate_Grow_Fd,Rate_Grow_Fg,HSC_P_Grow_Fb,Opt_T_Grow_Fb,Rate_Settling_ON,Rate_Releasing_NH3,Rate_Denitrification_NOx,Rate_Settling_OP,Rate_Releasing_PO4
L2,0.4088126,0.8154259,0.8288221,0.0030159384,28.70059,0.049638208001852036,0.005950069986283779,0.08190875500440598,0.029882490634918213,0.0009675186011008918
L3,0.517605,1.2752208,0.86102736,0.003712818,29.114223,0.061691123992204666,0.007670428603887558,0.0647868737578392,0.05588129162788391,0.002223416231572628
L4,0.5925951,1.3241551,0.8788772,0.004096699,27.98574,0.04807185009121895,0.006719508208334446,0.07603748887777328,0.03414352983236313,0.003606958780437708
L6,0.4922997,1.2708488,0.8052712,0.0068863635,29.182821,0.014322797767817974,0.007665363140404224,0.04894622415304184,0.033628106117248535,0.0027450458146631718
L7,0.3811147,1.0437766,0.7066942,0.0056860093,28.070303,0.05782048776745796,0.004874321166425943,0.048097699880599976,0.052486877888441086,0.0024735841434448957
L10,0.34595066,0.7964176,0.8013356,0.007054656,28.740381,0.048057131469249725,0.005033072084188461,0.05227545648813248,0.05042922496795654,0.0025443262420594692
L11,0.45736557,0.787494,0.68160206,0.00563229,28.628881,0.037320327013731,0.007939235307276249,0.05884385108947754,0.08391974866390228,0.0003387905308045447
L12,0.43329927,1.5858659,0.850387,0.0032927138,28.68339,0.055156368762254715,0.0058087073266506195,0.07509060949087143,0.014104465022683144,0.003173585282638669
L14,0.33558846,1.690713,0.82075554,0.0062563913,28.662313,0.04994506761431694,0.005171976052224636,0.07168278843164444,0.04548892006278038,0.0038910985458642244
L15,0.34730378,0.8624742,0.75825346,0.0040138653,28.354288,0.02949313260614872,0.004244384355843067,0.08382455259561539,0.0163575429469347,0.0018591349944472313
L16,0.6049911,1.6950504,0.880922,0.0054648467,28.086699,0.034121859818696976,0.006458101328462362,0.06082149222493172,0.03970315307378769,0.0017888711299747229
