Index,Rate_Grow_Fb,Rate_Grow_Fd,Rate_Grow_Fg,HSC_P_Grow_Fb,Opt_T_Grow_Fb,Rate_Settling_ON,Rate_Releasing_NH3,Rate_Denitrification_NOx,Rate_Settling_OP,Rate_Releasing_PO4
L2,0.025672285,0.09401407,0.13617745,0.00065732386,0.83697337,0.018754029646515846,0.0027542549651116133,0.011779941618442535,0.006531114224344492,0.0001402199559379369
L3,0.06700301,0.04982817,0.14247023,0.0013465045,0.70666146,0.025774691253900528,0.0012538686860352755,0.026412058621644974,0.02685605362057686,0.0006117030279710889
L4,0.03296566,0.14490186,0.15671852,0.0011485494,0.56322914,0.023105565458536148,0.0022616360802203417,0.009171368554234505,0.018611151725053787,0.0007095822948031127
L6,0.0587622,0.07173637,0.11552021,0.0021073255,0.7478585,0.003116318956017494,0.002548161894083023,0.026903776451945305,0.008136393502354622,0.000352811417542398
L7,0.10659979,0.041944217,0.04685841,0.0021172622,0.82668716,0.020022571086883545,0.0022703141439706087,0.015346426516771317,0.006674249190837145,0.00018026769976131618
L10,0.08275321,0.049620185,0.02937253,0.00177193,0.70727324,0.021492281928658485,0.002102028112858534,0.006024736911058426,0.01970922388136387,0.0004053367883898318
L11,0.079991415,0.04881735,0.041913196,0.0022085533,0.8381025,0.02279997244477272,0.001968361670151353,0.02877536229789257,0.014619657769799232,9.411744395038113e-05
L12,0.026500719,0.07405429,0.16103773,0.0008124478,0.82583386,0.023263057693839073,0.0029472652822732925,0.01883198879659176,0.0036301088985055685,0.00030357588548213243
L14,0.08704542,0.006041237,0.1259703,0.002465874,0.91113394,0.02655852772295475,0.003215055214241147,0.024996822699904442,0.016263645142316818,0.0016218879027292132
L15,0.01742393,0.09878464,0.0946984,0.001159047,0.9493854,0.011518684215843678,0.0017533217323943973,0.008931493386626244,0.0040130531415343285,0.0002270619006594643
L16,0.15638621,0.008072662,0.15785283,0.0024595435,0.89301026,0.013413556851446629,0.0015260027721524239,0.029582809656858444,0.020969295874238014,0.0002351082512177527
L17,0.04440694,0.03531855,0.048187546,0.0020609978,0.8735423,0.023334024474024773,0.0026258244179189205,0.009242881089448929,0.02812015824019909,0.0002123591402778402
L18,0.039797522,0.13989021,0.1131901,0.0006666139,0.8813846,0.005812598392367363,0.002130286069586873,0.029859324917197227,0.014741132967174053,0.0002463821729179472
L19,0.104560256,0.019369856,0.024960635,0.0017897016,0.87270784,0.028632044792175293,0.0032081077806651592,0.010592297650873661,0.0054488405585289,0.00019064641674049199
L20,0.03938392,0.16289112,0.119622484,0.0007042451,0.7743021,0.005176146049052477,0.0028918280731886625,0.03104129247367382,0.009524421766400337,0.00013135890185367316
L22,0.027691469,0.06323136,0.064413175,0.0022854998,0.7754522,0.024584896862506866,0.0024143087211996317,0.023809362202882767,0.020490851253271103,0.0003567611856851727
L23,0.06150244,0.042671233,0.16842684,0.00071727595,0.6389539,0.028066910803318024,0.002095620846375823,0.029224462807178497,0.008759984746575356,0.00012839667033404112
