,Rate_Grow_Fb,Rate_Grow_Fd,Rate_Grow_Fg,Rate_Mortality_Fb,Rate_Mortality_Fd,Rate_Mortality_Fg,Rate_Excretion_Fb,Rate_Excretion_Fd,Rate_Excretion_Fg,Rate_Settling_Fb,Rate_Settling_Fd,Rate_Settling_Fg,Rate_Predation_Fb,Rate_Predation_Fd,Rate_Predation_Fg,Rate_Photosynthesis_Fb,Rate_Photosynthesis_Fd,Rate_Photosynthesis_Fg,Rate_Respiration_Fb,Rate_Respiration_Fd,Rate_Respiration_Fg,Rate_Deposition_DO,HSC_N_Grow_Fb,HSC_N_Grow_Fd,HSC_N_Grow_Fg,HSC_P_Grow_Fb,HSC_P_Grow_Fd,HSC_P_Grow_Fg,HSC_C_Predation_Fb,HSC_C_Predation_Fd,HSC_C_Predation_Fg,Opt_T_Grow_Fb,Opt_T_Grow_Fd,Opt_T_Grow_Fg,Opt_T_Mortality_Fb,Opt_T_Mortality_Fd,Opt_T_Mortality_Fg,Opt_T_Excretion_Fb,Opt_T_Excretion_Fd,Opt_T_Excretion_Fg,Opt_T_Predation_Fb,Opt_T_Predation_Fd,Opt_T_Predation_Fg,Opt_SR_Grow_Fb,Opt_SR_Grow_Fd,Opt_SR_Grow_Fg,Ratio_ON2N_Fb,Ratio_NH32N_Fb,Ratio_NOx2N_Fb,Ratio_OP2P_Fb,Ratio_PO42P_Fb,Ratio_ON2N_Fd,Ratio_NH32N_Fd,Ratio_NOx2N_Fd,Ratio_OP2P_Fd,Ratio_PO42P_Fd,Ratio_ON2N_Fg,Ratio_NH32N_Fg,Ratio_NOx2N_Fg,Ratio_OP2P_Fg,Ratio_PO42P_Fg,Ratio_N2C_Fd,Ratio_N2C_Fb,Ratio_N2C_Fg,Ratio_P2C_Fd,Ratio_P2C_Fb,Ratio_P2C_Fg,Ratio_Chla2C_Fd,Ratio_Chla2C_Fb,Ratio_Chla2C_Fg,Ratio_DW2C_Fd,Ratio_DW2C_Fb,Ratio_DW2C_Fg,Ratio_WW2C_Fd,Ratio_WW2C_Fb,Ratio_WW2C_Fg,Rate_Mineralization_ON,Rate_Mineralization_OP,Rate_Nitrification_NH3,Rate_Denitrification_NOx,Rate_Anammox_NH3,Rate_Deposition_NH3,Rate_Deposition_NOx,Rate_Settling_ON,Rate_Settling_OP,Rate_Resuspension_ON,Rate_Resuspension_OP,Rate_Adsorption_NH3,Rate_Adsorption_NOx,Rate_Adsorption_PO4,Rate_Releasing_NH3,Rate_Releasing_NOx,Rate_Releasing_PO4,HSC_N_Nitrification_NH3,HSC_N_Denitrification_NOx,HSC_O_Nitrification_NH3,HSC_O_Denitrification_NOx,Opt_T_Mineralization_ON,Opt_T_Mineralization_OP,Opt_T_Resuspension_ON,Opt_T_Resuspension_OP,Opt_T_Nitrification_NH3,Opt_T_Denitrification_NOx,Rate_Adjust,Ratio_Tolerance
L2,0.0011226552875347596,0.0009173296227683832,0.0008228966416814201,7.200739143651373e-05,0.0005192262991376712,0.0002622597945408287,0.0016100203149291576,0.0008359741174928635,0.0011049627972330419,0.00010990041690727406,0.00036943139071588383,0.00040277599186952,0.00015674421106705492,0.0003376065694091298,9.726509295622624e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.466057413715177e-08,0.00031768897444561653,4.426788258361675e-05,0.0007860410447576724,0.0006738021653447879,0.0004021914775769176,3.8550318190808156e-05,0.001081390536494569,0.0013301229098567667,0.0005289285597763559,3.947286493629452e-05,0.00029371705503174585,2.459593677684276e-05,6.420350143027418e-05,2.7878182127291265e-05,4.646112831959576e-05,3.120805390012984e-05,6.222423131102047e-05,3.143556488759588e-05,8.805774502294533e-05,2.7572386714910812e-05,0.00010164305416087085,2.111158412689139e-05,0.00015386127270990412,4.9102676112842164e-05,0.0002020184168308565,7.516553449314911e-06,0.00019210056648357544,0.000237732030670684,0.0003859227019862059,0.00011424553284521968,4.202211741719166e-05,0.00010303052568863034,4.2556762039828826e-05,0.0003070138972482539,3.6571259658913524e-07,2.6089694505924403e-05,0.00018487046339126707,7.837132600274256e-06,0.00010067691926188312,0.00026693678935239037,9.471788675159585e-05,0.0003297369411381371,0.0001531359890066913,0.0002133563455092944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010670226607380825,0.0013917775433672265,2.8850918605480153e-06,2.0877311957506258e-05,6.481382982647291e-05,8.062211857582166e-05,8.781466451517171e-05,0.00048498880222559574,0.0006214867537189931,0.0009147437917206165,0.0035071572022279175,0.0001331842836927941,0.0002873320582343847,0.005373995977534541,0.000843153875378117,0.0005991483293197188,0.0028963417060472252,3.551660037225866e-06,6.880173250520879e-06,6.314580267138478e-08,2.939495868698979e-06,0.00026513794505909606,0.00032026505766982223,0.0002934746717829038,0.00148951952382976,6.962327960137806e-07,1.069836820684516e-06,0.0,0.0
L3,0.0011241861861137677,0.0009307163562444446,0.0008775576319410619,7.914671785793808e-05,0.0005995290547143485,0.0002803392147615404,0.0016614766037287194,0.0009974118306092462,0.00124971322553289,0.00012160167614589047,0.00037220657838008225,0.00044113048729376716,0.0001268121719788349,0.00032159921655482853,9.699951741704788e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.95360698496005e-08,0.00030088975805383524,3.926532530219181e-05,0.0007259385680404108,0.0007942447110218836,0.00047857978987828786,2.9339655888184955e-05,0.001168233919026123,0.001568151768063739,0.0005758009332464385,4.3679434331054506e-05,0.00026247776645198695,2.6766783920136677e-05,6.930219916263691e-05,3.2062118125499934e-05,5.131044821907553e-05,3.190126146787084e-05,7.234307657917769e-05,3.230983870787634e-05,9.262089979499969e-05,3.0829689899383416e-05,7.22302393773293e-05,1.5498260086211953e-05,0.00010601811223952048,6.289988993527377e-05,0.00019811279512376665,6.08577824938303e-06,0.00019020276602650738,0.0002497232365943829,0.0004267537026390408,0.00011183408609208843,3.984243496520605e-05,0.00013623399302773934,4.719459343212314e-05,0.0002831248334973295,4.841640406842773e-07,2.8987717172670753e-05,0.000213038617095308,1.7058110953357204e-05,0.00010489627522911014,0.00026215080000801356,0.00010236392598667783,0.0003738109635408087,0.00013622049427705485,0.0002397616737459246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012367824796567814,0.0015508952520428428,4.5759945460276635e-06,1.5059284248287249e-05,4.3641327934521265e-05,0.00012057150030513717,7.73926456844794e-05,0.0005088762515588016,0.0006669071155500821,0.0009404088147435619,0.003744309531066143,0.00015776119565876675,0.00031668440632787615,0.006098243330621507,0.0008440917376467121,0.0006824254274307534,0.003100694320876233,2.7557965191788338e-06,5.746816760035363e-06,2.080125678084158e-08,3.559865162054926e-06,0.0002617088295034517,0.00035061899443869927,0.00037428501549215717,0.0016325776222654111,5.486870502748249e-07,9.48578545896742e-08,0.0,0.0
L4,0.0012395016817471234,0.0010502068021123975,0.0007835828723178288,0.00014273971829075344,0.0006655587341628081,0.0003141803608555487,0.0019108579732647942,0.0012605896557588698,0.0015898208377986985,0.000174589787292739,0.0004196675882704104,0.0005524294002721243,0.00028078481098705454,0.00046334191545883556,0.00017575593592787604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2109154041355165e-08,0.00018909861292684872,2.960080477500316e-06,0.0008985134748897946,0.0009498592006555479,0.00047547232759767116,0.00010609037868256871,0.0012921011498730826,0.0014813927915787331,0.0005738976102039042,4.688572236719191e-05,0.00022935598587965866,3.3655223159177405e-05,7.40664970865766e-05,3.933817298889032e-05,6.084371692654114e-05,4.204999478065066e-05,8.481507921010287e-05,3.9297489470239676e-05,9.905658897575316e-05,3.5910821816917964e-05,7.211759002828768e-05,1.1527516169486119e-05,0.00017217347417486324,8.39108075523272e-05,0.0002447908445615753,1.3151800049383442e-05,0.000318123495576267,0.0003656167460806854,0.0004011697394166776,0.00013073672543198646,4.290233419458903e-05,0.00023976616095986196,6.917467751404094e-05,0.00014224758400972615,5.447513010830868e-10,2.7746117613492738e-05,0.00024169457156445156,3.584007792390474e-05,0.00011414079187006885,0.00030733671253890414,0.00010538060945424648,0.0003843275286484929,0.00017657349587434876,0.0002616660065217122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009834019588672606,0.001697180015284109,7.96665779198548e-06,3.9098491376712e-05,4.626413773808225e-05,9.408652416698658e-05,6.423367389493185e-05,0.000538389591026712,0.0009328443435582536,0.000757237088935685,0.004033183488515035,9.266388865438355e-05,0.0002603653242612328,0.0066133508212750675,0.0007285962976730138,0.0005372406108534235,0.003209579861708424,6.125716910548867e-06,1.1824895145206417e-05,2.41472195137548e-07,7.977684251096457e-06,0.0003152321434002733,0.00038187988525171244,0.00020612356863575348,0.0016623470168023982,1.94331139828812e-06,8.991111143841929e-08,0.0,0.0
L6,0.0011208016193017807,0.0014140240025714388,0.000655254949162192,0.00032347463783013715,0.0007521283930787667,0.0003809711713119858,0.002190338415773014,0.0019301706620328085,0.0019077699649839048,0.00022428609832520616,0.0004291797030240402,0.0005320002905917811,0.0005210503263244523,0.0005901715020542454,0.00028507439301616466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.706437671304469e-10,8.446401986226919e-08,2.420468178085432e-08,0.0010083152659834923,0.0010051025898205478,0.0005020216914760273,0.00025116597965034275,0.0013889392126031506,0.0011578714619274657,0.00034318315505013744,0.00010056265013958995,0.0001528152547500008,4.940411337472681e-05,8.187774108000142e-05,3.9880395271644074e-05,8.428674804883533e-05,5.832125761993279e-05,0.00012240511059369888,5.510329082917828e-05,8.357971871116339e-05,4.683195260116476e-05,3.378479646369869e-05,3.076077416568444e-05,0.00029987099689582185,1.3030624931501758e-06,0.000135443542478629,1.0044196880136318e-05,0.0007486683035572604,0.0005276166254404101,9.332201382020594e-05,0.00021279755777054788,5.066555308972647e-05,0.00045505095301109596,0.0001979821436568485,2.7584597259242698e-08,1.731143833751808e-10,2.0915175969862744e-05,0.0004013172159184926,9.045353012671227e-05,0.00010177551475890345,0.000139548537743836,3.820657625548038e-05,0.00043339008905116436,0.0002444004730306854,0.0002805671886415069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007455461436184934,0.0031110237332667126,7.646603383554967e-07,9.139992692670881e-06,2.0409277278081277e-05,8.815009502054694e-06,5.3529184393149426e-05,0.0004432497435678073,0.0012464986866593836,0.0001811530474047942,0.003565875530892329,9.617776285684838e-05,7.084182925068463e-05,0.006461628270147945,0.00023082254800479543,8.053087683287676e-05,0.0031963688104602733,2.2637654794298042e-08,1.3587414226023509e-06,1.0339600273998094e-07,1.290965058904094e-06,0.00011426789170684985,0.0006141514295301372,1.8432348698753548e-07,0.0016848631444376706,4.07702876771554e-09,3.7492773698706097e-07,0.0,0.0
L7,0.0004399562904618496,0.000694131261271952,0.0009339848967024661,6.215566364732824e-05,0.0005461128288513702,0.00029075473344719203,0.0014950300186339725,0.0007583737789450685,0.0010416685033012997,5.09150511263011e-05,0.000306549136208219,0.0004298051782956164,0.00016593899217082168,0.000277172854450685,9.589988929130188e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.713763014517345e-10,4.1240797287329275e-05,1.2592661808901834e-06,0.0005991260406267125,0.0008810183132030138,0.0009847855265866436,5.751531730479177e-06,0.0011868740181587675,0.0009544517316863012,0.0006030913359419178,4.65972267808561e-05,8.913659479191778e-05,1.9189698116095506e-05,5.452598224068466e-05,3.92022325832877e-05,3.26989815172602e-05,1.905591411821919e-05,7.872396508397221e-05,1.0488746427122919e-05,8.22262580981509e-05,3.5910226003561535e-05,4.974468635527412e-05,1.4627963047500464e-05,3.617279003280816e-05,1.4758196009578844e-06,7.799330937739407e-06,1.15406818808218e-05,9.836251313835573e-05,0.00015337090977472556,0.0004610873858060963,0.0001855674887743151,4.858565302397243e-05,0.00011024344921171268,2.2566953831712124e-05,2.0449295938560695e-05,1.5493212322619225e-10,2.6010568957191402e-05,0.0003390387415370543,1.8028211286370328e-05,0.00010100864402671221,0.00020269733958842455,9.971264413602757e-05,0.00027980527950719196,6.434300919225986e-05,0.0002500060159261642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009421268090547949,0.0017725700248956162,3.3188600171920374e-06,2.9622861578630274e-05,6.749867614027376e-05,4.7208295076301656e-05,6.648472840910954e-05,0.0005605097778867127,0.0007511995113852741,0.00035664256515821906,0.0032766590074311984,7.091677761369896e-05,0.00020267817280890483,0.005952750007698288,0.0005403743637865073,0.00015615143031493138,0.002759288881966644,6.04332022849262e-06,9.65113206369869e-06,7.680913080824946e-07,7.921192789725516e-06,0.0002723863533599993,0.000281111713893289,0.00010301566995205495,0.0018874948070188358,2.96219191109594e-06,7.280478310890513e-06,0.0,0.0
L10,0.00038736356041047936,0.0006000657747486164,0.0007255409751462119,5.201830390124025e-05,0.00039703261866704773,0.00023716814891587,0.0012137599138975894,0.0006654897284733282,0.0007789856623143501,5.1316505512027835e-05,0.0002835659756281439,0.0003188464935418155,0.00020132669005777396,0.00031112315020652035,5.027234045079406e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35061438195119e-10,2.5764986301085133e-10,4.618788587668251e-07,0.0009442418893008909,0.000739360901079431,0.0008203274901068845,4.272824415164309e-06,0.001020944347732274,0.0007613548658371241,0.00047686139102757536,4.0364127636883574e-05,0.0001187216333270551,1.922450432061009e-05,4.8378405540699265e-05,2.6027129304678056e-05,2.0735667741020687e-05,1.5754971092856056e-05,6.811888292321883e-05,9.735989783177925e-06,6.330637025206869e-05,2.5135362527671405e-05,3.0225136540911335e-05,7.370899216684997e-06,6.398410298069167e-05,5.509893332878175e-07,3.882860195095942e-05,1.358750915075388e-05,0.00013791831085027358,0.00013743461328041126,0.00032046069165524003,0.0001854560693847947,1.6843398623424337e-05,3.36816710078425e-05,2.4776759783938606e-05,1.7147928151089097e-10,1.4306293152086326e-10,2.3993861773355915e-05,0.00026884673084991763,2.245138465818508e-05,0.00021958926187171253,1.9507726028416953e-10,5.792751075637029e-05,0.00020571700382311637,6.244116947418511e-05,0.00018835796816420614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000887434546735685,0.0013912539250957195,4.469951556780897e-06,6.731938395205788e-06,9.156932102301316e-05,2.119898183753364e-05,9.94775893627399e-05,0.0007392445973414383,0.0006429356581876231,0.00015121057902267132,0.00276195301225872,1.446175697753425e-05,0.00015706846842472594,0.004511887923221795,0.0004645439596447601,2.942490744862897e-06,0.002574849742504418,1.47365109965739e-06,1.898546034320538e-05,6.423430944866011e-07,2.7303739724064776e-10,0.00013416151614030846,0.00021500821656883598,6.267107380974617e-05,0.0017433630945520892,3.710535751643996e-06,3.974335498561213e-06,0.0,0.0
L11,0.0007222733885955623,0.0008562067126746066,0.0007471201626968525,6.89662918795292e-05,0.00045715727306625366,0.00026384156195493485,0.0012615348112398838,0.0006172728572657525,0.0008962183869635725,7.207449228824447e-05,0.0003350983845187748,0.00034241358736049993,9.816725776199978e-05,0.00020209728269969732,7.743347624024586e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91854518520721e-09,0.00023013190261747182,1.9437692590531113e-05,0.0009074289687477326,0.0003591663724727611,0.00042470820475676714,3.633304476562803e-05,0.0008377182388969213,0.001191337613352719,0.0005283395890359388,3.7586900784978166e-05,0.00018919766266715766,2.0660349412905004e-05,5.531741882397144e-05,1.961999569453979e-05,4.007025712665208e-05,2.621982331392544e-05,6.897834604465291e-05,2.0300819509056263e-05,7.173341140824277e-05,2.6006562474647328e-05,8.187280742383818e-05,3.1280091901849548e-06,0.00028616964005893973,1.364484475622826e-06,0.00013057029973093174,6.384208133802558e-06,0.00012248693160587672,0.00015185343009427386,0.0002607300916834749,9.199652809235491e-05,4.754951180868079e-05,2.6291419910137423e-05,1.8580432848247233e-05,0.0002350737095396497,2.1427694415980633e-10,3.0497938293513785e-05,0.00013971460809964132,2.9676817809243865e-06,8.219012564170491e-05,0.0002234342109008344,9.316144263411404e-05,0.00024494363434750266,0.0001045902331654022,0.00015868939567508026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007646545616227606,0.0011284099056976956,1.4179990864408253e-06,1.2449609249843462e-05,2.8299147733910867e-05,0.00011476086073270483,8.25326985971301e-05,0.00045328420668801347,0.00045299940368819175,0.000887781010064131,0.002502501060368318,0.00015903096433117847,0.0003080011771370959,0.004312774562233168,0.0007986756823650145,0.000532956505623514,0.0024606150863908565,3.3127993063152586e-06,7.025295277966555e-06,8.174849710230596e-08,3.2674382997941797e-06,0.00022459143254487777,0.0002577386859283504,0.0002068471839425834,0.0012211542693547604,6.191635939935971e-07,1.0056349306622134e-07,0.0,0.0
L12,0.0013209115428692469,0.0010807354080779384,0.0008497076064678697,0.00010862077246510385,0.0006869728408766095,0.0003123133488204451,0.0019042784902299867,0.0013134417695262334,0.00160070002123346,0.00015381659872993177,0.0004253956000960478,0.0005522676177355478,0.00015104757298520542,0.0003786028556209925,0.0001710426697876026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.445942561986813e-07,0.00031666994030691783,4.088445913397194e-05,0.0006615389558221233,0.0008082709368973972,0.0005095775859846579,9.296469379006858e-05,0.0012510226724195138,0.001798214869265445,0.0005019937615031507,6.355215221619869e-05,0.00023002619614232779,3.2307494816918e-05,7.681196855568536e-05,3.76475742381369e-05,6.273875398726057e-05,4.1128442561096646e-05,7.472055568294534e-05,4.446344264116386e-05,9.842369217842435e-05,3.440560513089056e-05,9.097027123623325e-05,2.0885335114418007e-05,7.147173799705562e-05,8.238874063808248e-05,0.00023885380016157613,6.631042089040986e-06,0.00027013557398886963,0.0003240043807091091,0.00041036156276609526,0.0001154038920694522,3.442524779671176e-05,0.0002720419511416431,8.923166639362955e-05,0.0004332883410626717,1.3254014289048005e-06,3.0690747726369224e-05,0.00017537071693263633,3.120152282075323e-05,0.00011206820186948666,0.00027246764478780787,0.00010832869781784161,0.0004214764948356575,0.00012381716625349315,0.00025738079616472576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013351979039963019,0.0016140606561441777,4.307848790136796e-06,2.7639523502157372e-05,5.1745426379793716e-05,0.00013192896162061583,9.156877988003437e-05,0.0005710014975916436,0.0008105384343574317,0.001086441765995137,0.003779693441905397,0.0002423166349224657,0.0003480219372324659,0.0067071493051832866,0.0009170962855206161,0.0007438720473517806,0.0032802098583597948,3.6317495728764336e-06,3.333395600034548e-06,8.254148075331909e-08,4.4040554116442796e-06,0.0002614405581587665,0.00039406618077534206,0.00037235893592003374,0.0014933373297000001,6.388349667122508e-07,5.87496468082313e-07,0.0,0.0
L14,0.0002959069093198972,0.00046618229805737727,0.0005231022292217059,0.00010959444673654125,0.00042773448103315074,0.00026254901905921194,0.0013811153630102467,0.0006741096176568285,0.0008659049607216161,0.00012311170661387705,0.00037537884123984276,0.00043180525739599363,0.00012693905030476023,0.00014945559589701367,8.15726021424038e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.144539404086565e-08,0.00020299745205924706,9.243481517872755e-07,0.00040084655175965777,0.0004063020410225956,0.0006721648867280546,0.0001626314450716646,0.0007909849377357734,0.0010839518966343086,0.00042343439944126076,5.8945868405034486e-05,6.472401075965734e-05,2.175311912418461e-05,5.3583759375533725e-05,2.893887204986293e-05,4.114926255758208e-05,2.452267410285622e-05,6.628351671842463e-05,1.8115292921609134e-05,6.266334085656188e-05,3.304630923811623e-05,7.213842402637002e-06,1.7746028306670934e-05,4.412269727652742e-05,3.3422868832191597e-06,1.5833484030206008e-05,7.854364222705039e-06,6.789321275058943e-05,8.681347981232819e-05,0.0002515633702043836,5.867072987013714e-05,1.2146624268698414e-05,3.995692716051381e-05,1.1960785077636925e-05,7.920224434345887e-05,2.0336239708808498e-10,2.5387229169657378e-05,0.00021798082124319888,1.1046518013287771e-05,5.5201565229863276e-05,0.0001143419138580824,7.760825939044525e-05,0.00016838534905547287,4.2066745982917765e-05,0.00016015575364234928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006258011721152047,0.0011052956024058085,7.188116917795744e-08,3.338358855824045e-07,3.2944003464451804e-05,4.61066030537671e-05,8.480858741979459e-05,0.0005276081767915066,0.0005125253327922123,0.0001813542878564378,0.0021548127142552815,0.00010006616461767156,0.00023487802962595896,0.003953493542097945,0.00047511389571565035,0.00019401056793102737,0.0018416854443700683,2.918773773698507e-06,7.662105120205379e-06,8.212790445159801e-08,1.7475513550686328e-06,0.0002048037159583566,0.00017539471154619818,8.731839348071982e-05,0.0010615933730373285,1.0649860258559266e-06,1.7806413647287416e-07,0.0,0.0
L15,0.0014970253107429454,0.0014171753486021512,0.0008425164135111576,0.00012713340134671273,0.0007427124299942474,0.0003501028531796916,0.0020257756745878574,0.0014644700672657466,0.0019273418573378018,0.00017357228212654116,0.000448320670039253,0.0006062718554517121,0.00020621576877534264,0.00046125554076256763,0.00026429485657296635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.469139272594429e-07,0.00030143127983260263,4.134700453742558e-05,0.0007366962775376708,0.0010272680630013695,0.0005354149257240405,0.00010409554015561643,0.0014198881810740405,0.0018762472171208837,0.0005601469182580485,8.676998379904139e-05,0.00023480231538863024,3.372094469691744e-05,8.377689707517088e-05,4.199318204245899e-05,6.478183076917795e-05,4.425031519091073e-05,9.39914823785959e-05,5.024650228888333e-05,0.00010716602847156141,4.330056363180835e-05,9.099353677202153e-05,1.7083297535773555e-05,7.7233964811576e-05,0.00010915417099808305,0.00028685356741479435,1.1584055064041102e-05,0.0003004038915464378,0.0003651236450578776,0.0003724767114861981,0.0001346791270258572,4.3468875965137805e-05,0.00042668183279157446,0.00012196502207547902,0.0002937362156813021,9.749872645885921e-07,3.069890546835643e-05,0.0002680940162789389,4.574332426294501e-05,0.00011565915503958788,0.0003250262342669183,0.00011550931425544528,0.0004761245967802613,0.0001857704353720887,0.0003055886845742463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012228382275493157,0.0019232353840736714,8.928841834726762e-06,4.1703129627041154e-05,5.781603847294499e-05,0.00010242700220404158,8.384521379321888e-05,0.0006328497666141778,0.0011677264157052333,0.0010060675292695893,0.004328837663294035,0.00018178530265931464,0.00029298998634226037,0.0073053897090613355,0.0008316725990769874,0.0007209492283393148,0.003435569604898973,6.210935394246569e-06,6.900607658219239e-06,5.654813734938437e-07,5.8725941173973966e-06,0.00025571907311630116,0.0004795314680338358,0.00033941251918623327,0.0016118643655378777,1.8426650761642154e-06,1.1991948252738363e-06,0.0,0.0
