,Rate_Grow_Fb,Rate_Grow_Fd,Rate_Grow_Fg,Rate_Mortality_Fb,Rate_Mortality_Fd,Rate_Mortality_Fg,Rate_Excretion_Fb,Rate_Excretion_Fd,Rate_Excretion_Fg,Rate_Settling_Fb,Rate_Settling_Fd,Rate_Settling_Fg,Rate_Predation_Fb,Rate_Predation_Fd,Rate_Predation_Fg,Rate_Photosynthesis_Fb,Rate_Photosynthesis_Fd,Rate_Photosynthesis_Fg,Rate_Respiration_Fb,Rate_Respiration_Fd,Rate_Respiration_Fg,Rate_Deposition_DO,HSC_N_Grow_Fb,HSC_N_Grow_Fd,HSC_N_Grow_Fg,HSC_P_Grow_Fb,HSC_P_Grow_Fd,HSC_P_Grow_Fg,HSC_C_Predation_Fb,HSC_C_Predation_Fd,HSC_C_Predation_Fg,Opt_T_Grow_Fb,Opt_T_Grow_Fd,Opt_T_Grow_Fg,Opt_T_Mortality_Fb,Opt_T_Mortality_Fd,Opt_T_Mortality_Fg,Opt_T_Excretion_Fb,Opt_T_Excretion_Fd,Opt_T_Excretion_Fg,Opt_T_Predation_Fb,Opt_T_Predation_Fd,Opt_T_Predation_Fg,Opt_SR_Grow_Fb,Opt_SR_Grow_Fd,Opt_SR_Grow_Fg,Ratio_ON2N_Fb,Ratio_NH32N_Fb,Ratio_NOx2N_Fb,Ratio_OP2P_Fb,Ratio_PO42P_Fb,Ratio_ON2N_Fd,Ratio_NH32N_Fd,Ratio_NOx2N_Fd,Ratio_OP2P_Fd,Ratio_PO42P_Fd,Ratio_ON2N_Fg,Ratio_NH32N_Fg,Ratio_NOx2N_Fg,Ratio_OP2P_Fg,Ratio_PO42P_Fg,Ratio_N2C_Fd,Ratio_N2C_Fb,Ratio_N2C_Fg,Ratio_P2C_Fd,Ratio_P2C_Fb,Ratio_P2C_Fg,Ratio_Chla2C_Fd,Ratio_Chla2C_Fb,Ratio_Chla2C_Fg,Ratio_DW2C_Fd,Ratio_DW2C_Fb,Ratio_DW2C_Fg,Ratio_WW2C_Fd,Ratio_WW2C_Fb,Ratio_WW2C_Fg,Rate_Mineralization_ON,Rate_Mineralization_OP,Rate_Nitrification_NH3,Rate_Denitrification_NOx,Rate_Anammox_NH3,Rate_Deposition_NH3,Rate_Deposition_NOx,Rate_Settling_ON,Rate_Settling_OP,Rate_Resuspension_ON,Rate_Resuspension_OP,Rate_Adsorption_NH3,Rate_Adsorption_NOx,Rate_Adsorption_PO4,Rate_Releasing_NH3,Rate_Releasing_NOx,Rate_Releasing_PO4,HSC_N_Nitrification_NH3,HSC_N_Denitrification_NOx,HSC_O_Nitrification_NH3,HSC_O_Denitrification_NOx,Opt_T_Mineralization_ON,Opt_T_Mineralization_OP,Opt_T_Resuspension_ON,Opt_T_Resuspension_OP,Opt_T_Nitrification_NH3,Opt_T_Denitrification_NOx,Rate_Adjust,Ratio_Tolerance
L2,0.07662800180383564,0.012653394688972619,0.02939578373486304,0.003837725468013799,0.005250577176575284,0.005892018961849192,0.01848602557335609,0.013696045310753352,0.01598978134376717,0.001575339026301363,0.004947533271164361,0.007903373222876754,0.003046338466438268,0.001609491631438409,0.0021179258566438944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005825005602328742,0.010675481091575355,0.006266852913904161,0.04095606409602749,0.014089555667465758,0.0416388866032192,0.0009756751015069399,0.00250055175082176,0.005555266009725997,0.01543862061143835,0.0014131368807535501,0.019285197916438384,0.0007599929745205222,0.00025474298280822176,0.000951251635684916,0.0009045746321918152,0.0002812355850001835,0.002770164621986279,0.0006234793890410068,8.29554965753404e-05,8.046430705484914e-05,0.01034576411650685,0.0007663287616438474,0.0027861267873287897,0.03473882993815078,0.022383078828698548,0.0013271296473288002,0.018264908900342436,0.030586041222328757,0.012337524633904152,0.008034866406164529,0.0024728469571233757,0.005658424248082173,0.0019495482139725213,0.034440468698630086,0.023409963581506814,0.010607229332671286,0.01727235174410955,0.0005670390002054909,0.013018182054246503,0.014312261919041159,0.027525652633561676,0.016789847196575287,0.020773954020822022,0.0223393767168493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.131603513620685,0.13190828258136986,0.018201601282191726,0.17123150388698632,0.07675626401794522,0.041936559001438514,0.08783493291575346,0.30429393841191776,0.10340376176753419,0.4098301070981506,0.502451705328904,0.14844633071260277,0.11125042428893832,0.7980907849082877,0.3636491945736987,0.3119373776421576,0.2018106270250685,0.0111167980696233,0.021302148173219248,0.003034510013835602,0.014949894602671238,0.0232456203264041,0.03129911535308219,0.09851470073630139,0.15171243570369858,0.0024094723025343103,0.024747947426712352,0.0,0.0
L3,0.07463266383554794,0.011634154145342506,0.03077759066239727,0.0039734867247944545,0.0072025767801369295,0.006137094888082224,0.019004958938219206,0.017402428105479494,0.017184095214452,0.0016383954523972177,0.005757431878561696,0.009574140202602699,0.0023329370552054194,0.001487699725684881,0.001962317231917865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006034090216849315,0.013243204816232909,0.006575786755068552,0.04192842061767126,0.015532560312328697,0.04498031891630147,0.0006859362813697589,0.002807060219794584,0.0059346915055479245,0.017038142580616488,0.0016660300132191497,0.02131273525458903,0.0006809130686301499,0.00019501456726036398,0.0009060551777055551,0.0009313761061645331,0.00030008559513716173,0.002899134858904074,0.0006573726616438264,0.00015693509794517392,7.696471520548115e-05,0.00580877562020538,0.000402456616438425,0.002966678698972623,0.039849759759862914,0.02377859582938367,0.001422506661575343,0.019443666673972737,0.02359180512308221,0.01590462175356176,0.009159704579794554,0.002602858862671155,0.00717265405664381,0.0021862875016438327,0.03608098637630134,0.02813953099520548,0.011941510066232883,0.015460740828082218,0.0005897457365753908,0.014444301420205497,0.013915759925548004,0.02990989474664385,0.01874608092945209,0.02064576633719172,0.024335890306027324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11561351891856173,0.13752987599178076,0.016384976901780916,0.18280898202123289,0.06873844682815057,0.039130753374246555,0.08280525325130136,0.26165902001527397,0.10374632869253417,0.4037148001524657,0.48738662876321914,0.14779411507397255,0.1111124258684589,0.8078691907839041,0.3574553616554794,0.3037052383266782,0.193426292900137,0.010707067587123281,0.022397026508424657,0.0026518902509589325,0.015449286993287667,0.021990677623356242,0.03204944329705485,0.09135630724931511,0.13846617857095891,0.0023057762750342513,0.02506960353616442,0.0,0.0
L4,0.0869754867786987,0.011990119431370039,0.03122995105130132,0.004557156030821857,0.007037024969588914,0.006455649601849292,0.022901049657328757,0.022205720081506848,0.02252431069972599,0.00404417446376718,0.008567634346232903,0.011737099475958856,0.0036673526332191716,0.0020532495489040846,0.003360423969657594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007284662616986312,0.012143852882260248,0.007227790596780784,0.040661650962739666,0.015111176276506832,0.05055274109794526,0.0019338915698629943,0.0029258548160960435,0.009860708897054978,0.019147181915547935,0.002255211198082166,0.018477096804246577,0.0006840773122603367,0.0003665926834930958,0.0007859309930137532,0.0010153631876713587,0.0004165159563697729,0.0030388250940411254,0.0008346000595890856,8.298044897272206e-05,0.00020972106020547278,0.005637444299383593,0.0002390473787672015,0.005975613477328745,0.05433520529958915,0.03275907476095895,0.003612842026027381,0.030711519951575263,0.03947610792780833,0.025871659151917793,0.016072738962739603,0.0049716044660959025,0.014093953631712347,0.004699145949862833,0.06292151603465752,0.03747181617123286,0.014584342313013763,0.02519225218808213,0.0035663581298629498,0.018345444509178153,0.025822105656986276,0.03199303303993145,0.02068955003630152,0.02406203360075359,0.027622775778698688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2042333923863698,0.1625267889809589,0.030479405193493247,0.22242271978561642,0.10902334517383569,0.04213349132732873,0.08304649884513698,0.47043903745212334,0.16006737266958915,0.4159093079547945,0.5484552956580822,0.15115228424650687,0.11250270617054792,0.8796699282521919,0.3500740548986301,0.3044857130390754,0.23744971727363015,0.01485537882041096,0.0245121329584932,0.00538781783219168,0.01988357809006847,0.0322893962451369,0.035913967480068545,0.09952418858404102,0.1815816629800685,0.003977195719828885,0.03273303129657516,0.0,0.0
L6,0.05357268659527403,0.01983589944041103,0.027149581284246438,0.004997943078082124,0.006309363688972586,0.003649240060273851,0.015271040245479438,0.019973288860273934,0.020471468382739635,0.003627210907602721,0.006073411763013703,0.007138316685616514,0.004067088911095843,0.0031458861205478335,0.004141844299315062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027302616082190865,0.004351114908904069,0.0027174049808218912,0.03835789840068493,0.01258815903616437,0.025459112173972582,0.0028345870027397303,0.006028962004109512,0.008521291937671338,0.008137743754109574,0.002654266664383592,0.008422795257123288,0.000495700389041076,0.0005366021397944981,0.00038355315205475525,0.0007506835726027062,0.0005349066883560793,0.0015931469284932332,0.0008345248376712578,0.00020141098767136322,0.0002912524939724881,0.004195491087945263,0.0009209329972602653,0.007942066082876642,0.048388833437671364,0.040338064400548025,0.007522618240068416,0.047319873307808215,0.026691040610137003,0.02747431619321919,0.0217475660782191,0.006165890866438273,0.0195210729817808,0.007195041100068522,0.0361105784650685,0.02913135893424662,0.01028408706965761,0.022158380905479468,0.004823152459520539,0.012790238060547923,0.025565410674657413,0.023103322333561715,0.015572852886986366,0.015398374409589088,0.017631429461917782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1711624914554794,0.1522526095705479,0.008589943555479578,0.05151655903150687,0.06030261583931509,0.024328459530000065,0.044247626270753335,0.41288583575876714,0.08769798456842473,0.2041762296199315,0.2255833689267123,0.0779921217760274,0.06378315607479448,0.40093581164794523,0.1668891196660274,0.16691196404794506,0.14724170376369866,0.004631628599999974,0.010219586576712403,0.001653687002465712,0.004902546162328702,0.030807421454794565,0.03268966688321916,0.04893789994315072,0.08865318691438352,0.0010609872575342073,0.007938402049315002,0.0,0.0
L7,0.01792133713438355,0.006607885303150748,0.027720054009041085,0.003813264306164321,0.004322071948767306,0.003382584678904066,0.014795620521164362,0.012188639484246366,0.019102729240890452,0.0011004557303424505,0.007831452846575382,0.0076243868527395954,0.0016202645365069128,0.00032996758520548175,0.00203388300246575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018875735691780415,0.007368231805890415,0.010099199543424623,0.03526421988328757,0.016244803531027467,0.06995638614205464,0.00017347034794515937,0.0006281159200683034,0.009884492523698513,0.012751234502054851,0.0018108734136987326,0.0026801036476027384,0.0005550909439726414,0.0002812920032876587,0.0003612046414726261,0.0007421542972603668,0.00017850027986311966,0.001149275863150806,0.00012493280136994245,0.0002536363062327629,0.0001723457252055749,0.0012058869667808225,0.0012151307301369318,0.003483221670000125,0.012517722919726141,0.010478101710821872,0.001817625691438407,0.013042241868287549,0.011924917461369863,0.02165560132130125,0.01306145487842457,0.0036817521197260424,0.01178810130719174,0.0025019868378082675,0.06978297000123287,0.03564686417465751,0.013080841305821874,0.02665859056027401,0.002700751065205456,0.014344468361917787,0.03172795209041086,0.04192786650945218,0.012839398302739701,0.006775416243082246,0.026926651564931514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2339638843380821,0.16534812376972602,0.03116362355856167,0.24500017544383565,0.13454733880890418,0.0475271467845204,0.0884181083391782,0.5079935352178767,0.14886469857184922,0.39741393372739714,0.49551558429226017,0.15412218656712323,0.11977666865712307,0.8542515260815069,0.32765867000465754,0.3183744593795548,0.2588518626996573,0.013513175347602801,0.024772297670136997,0.005312312993013676,0.022151320732191945,0.03958534576726025,0.031844340550274,0.0903828202705479,0.19086918250828763,0.006307264994794401,0.06250231235547943,0.0,0.0
L10,0.012730086999041018,0.00573185060938367,0.02132194563698624,0.0023719767807534433,0.003584211936986159,0.00262714898424663,0.009522158648835766,0.00956299455821914,0.011282960318629895,0.0010674184966439348,0.006069995595205468,0.006551669891095879,0.0018846318209589541,0.0006064135697260553,0.0007649446691097628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024085495130140135,0.006724480117808279,0.005224140890547996,0.04101751780027392,0.012998449547876528,0.053327533035616395,0.00031395142397259155,0.0009221178129454277,0.005825209610959248,0.014882637084657585,0.0011082018760272595,0.0034044207599998348,0.0004330720734247007,0.0003798318271232337,0.0002303212444521474,0.0004300447808218033,0.0001657355178083908,0.0008566559595205303,0.00011736073561651184,0.00025538866438364896,0.00014174266849317774,0.002224113861164545,0.001975658889041043,0.00375116577534238,0.010059322803904158,0.01414861850280838,0.0025008889662329003,0.020765027811575236,0.024993909211232984,0.018713009086643577,0.02195741631410953,0.0057978368034247605,0.014251720921027477,0.006968516395068525,0.05256531761301383,0.023723458060273782,0.010267109348219079,0.0221151153020547,0.003451986796849227,0.019981249237602694,0.03595296265684942,0.03407271415541087,0.01042466776027412,0.008632482470547726,0.021327095636095937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3093328203242466,0.14813450425232882,0.04797335805821914,0.25566089273424664,0.19285182649376734,0.05363078052061636,0.0999375542021919,0.9953076580559589,0.15343615845143838,0.3649725858918493,0.47948017491760264,0.1535735815602738,0.11924211410589032,0.8069010181027396,0.3117942196208217,0.2996741333642466,0.2573489535828083,0.014558761469794535,0.025022439896506994,0.007940931215958985,0.026344457245685054,0.05583689014787676,0.03336821740315067,0.08301179559513695,0.18166107902280829,0.007069611564657447,0.0598140170568492,0.0,0.0
L11,0.04003109337287666,0.010952213232739913,0.03051352030335617,0.0030973195964384527,0.005794009669931498,0.005231164712876693,0.011596186170411074,0.011926044303287593,0.01698092770890409,0.0007653692722602399,0.00497905698945206,0.00728547104342465,0.001786230730068436,0.0012377129909589626,0.0020075780780137746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003909371402876753,0.0069108754123972565,0.008143343271575284,0.0459238634299316,0.0074911511163698406,0.03891977367092461,0.0004779200997944988,0.0023950388658903546,0.004293884487945186,0.01759519880506848,0.0011759911896574132,0.014726509628219309,0.0006955671357534665,0.00017865652315067758,0.0018544280762055533,0.0010596545547944592,0.0002609335280137584,0.0016848435776711912,0.00039337167945207587,7.414384602731222e-05,4.951831150696445e-05,0.012160933008287706,0.0013162569273286405,0.005315375804999925,0.019251923531095904,0.01866787273643829,0.000334053436438312,0.014548150332945192,0.025408197800136978,0.008329673771301307,0.008121786761301432,0.0014811854878767432,0.002121903901232844,0.0011302807031506365,0.044079570095753515,0.0197852203479453,0.00886961912198637,0.014269307139041065,0.00030146969547936513,0.010258783474726073,0.012530966228424756,0.027335601505274087,0.013594328852054815,0.01635849330205469,0.01934910136952058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1362115073525343,0.11977657364301364,0.015829826416438292,0.13546082689068487,0.07794732590856154,0.0476585514246575,0.10219979482623273,0.34423235012280834,0.09033508203184931,0.38629957268157533,0.43642618185760274,0.1523126951893151,0.11378604380582871,0.7716122844343152,0.35064502399972597,0.3063784175544658,0.19831978910178086,0.009009630921369745,0.018219740288835634,0.002684577189452081,0.012032693776027472,0.022073876843835532,0.028651473570616558,0.09666211971143827,0.1419130184139042,0.002095299125630037,0.020594193820684933,0.0,0.0
L12,0.10097022391705475,0.016813410393904,0.037466957431027306,0.005508598260205505,0.009025679424862935,0.005986047021575389,0.027410237259862767,0.02313077927054783,0.025208789858219182,0.0035646425169862787,0.006617974238630145,0.010594960907465785,0.0028217338691096565,0.001852994779726011,0.003891341177876724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006046753404246522,0.015512365980616425,0.00785474737520551,0.047090853391438314,0.01762125089013701,0.058627763366917815,0.0013184160324657523,0.0036021017311643213,0.008492177627876765,0.01834863843924663,0.002985657638835651,0.020673648922602643,0.0009278757491095913,0.000286193637945191,0.0006975133786642163,0.0010998047013697858,0.00039278656849320027,0.0032246495200686136,0.000559377807328687,0.0002130901763013851,0.0001828135878082629,0.004388371066849346,0.000238306844383529,0.0034616605105479772,0.06550498915273975,0.03305727520150687,0.0031044024462327712,0.02708377272328773,0.029112140574657587,0.02463994105520558,0.012910276981849416,0.004131741702739719,0.015443314529589008,0.004947510361643752,0.02431693168602736,0.040445861930136974,0.015333567069863085,0.014601680577534276,0.002176055800890398,0.018983813533972615,0.01533601346527389,0.03301817223842482,0.022510164004109462,0.02176281438102746,0.028033055031369897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14694991991753414,0.15793642344719175,0.02124280980123277,0.18445870453458899,0.0796265847597946,0.040089600119588994,0.08416916423856151,0.32578609843952056,0.12070612396541083,0.4209646066163015,0.5016035887181507,0.15252596167417803,0.11654880844253435,0.8742006156269179,0.374901169968904,0.3155627073798287,0.20511057691458898,0.012851093373904124,0.022936881112191727,0.0035527387099314927,0.015963686212602725,0.026656983260137008,0.03519364721198629,0.095868655040959,0.13051130191684931,0.002566148306095957,0.021683500454794523,0.0,0.0
L14,0.014624749284041236,0.0056369499848630015,0.01828038231246564,0.0031806996310274117,0.0059068634021917105,0.003505720727054734,0.01149231150472601,0.012652955769041106,0.016222566856438293,0.005210533382054858,0.00700507268178088,0.007937158804726074,0.0017211073908903723,0.0006680320941780491,0.001523021469657579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010110241239042195,0.003546676333150775,0.005114087909383615,0.021322342068493153,0.012412542726575347,0.04092688150006845,0.0016051420952056417,0.002771116050205513,0.006647251910342383,0.01164656669773979,0.0010908399930821626,0.002482360237397181,0.00048702602753420836,0.0003225304567808701,0.0004950979084930834,0.0005877615184931128,0.0003232704491095709,0.0011639816176028065,0.00021060705410962387,0.00012668863273971597,9.76159748631189e-05,0.00095547377835625,0.0013920271041782284,0.0016058274203424733,0.016783171311369867,0.018420507815958907,0.003022614362671229,0.009480054172808231,0.009713836897808241,0.013284688096849354,0.010153005211027548,0.0022089856978766307,0.0052267822678766975,0.001453590983630064,0.05747520892438358,0.031871003402054746,0.011998526003630145,0.019662182486301333,0.001995161319041172,0.009261667080822008,0.02626127126095889,0.03205375191000003,0.008498680169178064,0.005216216311643812,0.01830154799568497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1413885787175342,0.12152305834541095,0.010878906831369975,0.11502853759726037,0.08606101193301377,0.04908160197082196,0.10532854787958915,0.4820965548250686,0.12224375609136977,0.30975398314356156,0.3406036472149315,0.14460142824883562,0.11612333276239732,0.7114505716222604,0.27284463368835615,0.2704656731290068,0.18437405041315066,0.0059341096915069376,0.015165714016438344,0.0017402079361643328,0.010210781290273927,0.022313791425000125,0.021150949768561612,0.06765499717705489,0.12592327926719168,0.0019141947153083218,0.025428037847876728,0.0,0.0
L15,0.1315176198316439,0.023817483777328962,0.04868792695335609,0.007193127210205559,0.010940308044246613,0.006943820345342394,0.03319332781171227,0.02687792306568503,0.031448942847739886,0.00410110600109591,0.00923253643541097,0.013516441862054729,0.004082407582191798,0.002287428855205434,0.006246705962054908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008108862700479422,0.017773250301575293,0.0108227499166439,0.05127923100267119,0.019563638404931475,0.07362552722568494,0.0019496752175342386,0.003912435535274028,0.01221414293445212,0.018125527240068547,0.0058492544422603186,0.021967674198082137,0.0009337159247260904,0.0002899357738355646,0.0006927972719176472,0.0013544088698629608,0.00040730604308206186,0.0034294784028082712,0.0007070988710959625,0.00010682480794519666,0.000542670356301364,0.006065695479246491,0.0004518825852739633,0.004098005668972601,0.07847065802815072,0.03535354717643826,0.0032500666448630035,0.030412253651095855,0.04222809714554797,0.03033795191321917,0.01617932377191785,0.00584774156383559,0.027880937002397233,0.007079790409726096,0.04373903173315075,0.056706598068493076,0.019173324695959018,0.025645392320753448,0.005675694901438296,0.02396676901561644,0.020699464488698766,0.04034714632130144,0.026157671813013615,0.029730683549588986,0.036797709765821945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1992066312413014,0.19462216724404105,0.03310592031287663,0.23169596875664383,0.110768070450822,0.039857378552260195,0.08193240578116433,0.4718401351084931,0.18029278469178084,0.43755252964520547,0.5735427535561644,0.1570560472717807,0.12152970922273983,0.951849714727808,0.3774410801038357,0.3236156307907192,0.2223619641324658,0.016789847489999947,0.026028771259726018,0.005687152459520703,0.02081974370568495,0.03584420450363006,0.04184005351849315,0.10271292423287673,0.1512594123752055,0.00371229314496561,0.02668179605527392,0.0,0.0
