,Rate_Grow_Fb,Rate_Grow_Fd,Rate_Grow_Fg,Rate_Mortality_Fb,Rate_Mortality_Fd,Rate_Mortality_Fg,Rate_Excretion_Fb,Rate_Excretion_Fd,Rate_Excretion_Fg,Rate_Settling_Fb,Rate_Settling_Fd,Rate_Settling_Fg,Rate_Predation_Fb,Rate_Predation_Fd,Rate_Predation_Fg,Rate_Photosynthesis_Fb,Rate_Photosynthesis_Fd,Rate_Photosynthesis_Fg,Rate_Respiration_Fb,Rate_Respiration_Fd,Rate_Respiration_Fg,Rate_Deposition_DO,HSC_N_Grow_Fb,HSC_N_Grow_Fd,HSC_N_Grow_Fg,HSC_P_Grow_Fb,HSC_P_Grow_Fd,HSC_P_Grow_Fg,HSC_C_Predation_Fb,HSC_C_Predation_Fd,HSC_C_Predation_Fg,Opt_T_Grow_Fb,Opt_T_Grow_Fd,Opt_T_Grow_Fg,Opt_T_Mortality_Fb,Opt_T_Mortality_Fd,Opt_T_Mortality_Fg,Opt_T_Excretion_Fb,Opt_T_Excretion_Fd,Opt_T_Excretion_Fg,Opt_T_Predation_Fb,Opt_T_Predation_Fd,Opt_T_Predation_Fg,Opt_SR_Grow_Fb,Opt_SR_Grow_Fd,Opt_SR_Grow_Fg,Ratio_ON2N_Fb,Ratio_NH32N_Fb,Ratio_NOx2N_Fb,Ratio_OP2P_Fb,Ratio_PO42P_Fb,Ratio_ON2N_Fd,Ratio_NH32N_Fd,Ratio_NOx2N_Fd,Ratio_OP2P_Fd,Ratio_PO42P_Fd,Ratio_ON2N_Fg,Ratio_NH32N_Fg,Ratio_NOx2N_Fg,Ratio_OP2P_Fg,Ratio_PO42P_Fg,Ratio_N2C_Fd,Ratio_N2C_Fb,Ratio_N2C_Fg,Ratio_P2C_Fd,Ratio_P2C_Fb,Ratio_P2C_Fg,Ratio_Chla2C_Fd,Ratio_Chla2C_Fb,Ratio_Chla2C_Fg,Ratio_DW2C_Fd,Ratio_DW2C_Fb,Ratio_DW2C_Fg,Ratio_WW2C_Fd,Ratio_WW2C_Fb,Ratio_WW2C_Fg,Rate_Mineralization_ON,Rate_Mineralization_OP,Rate_Nitrification_NH3,Rate_Denitrification_NOx,Rate_Anammox_NH3,Rate_Deposition_NH3,Rate_Deposition_NOx,Rate_Settling_ON,Rate_Settling_OP,Rate_Resuspension_ON,Rate_Resuspension_OP,Rate_Adsorption_NH3,Rate_Adsorption_NOx,Rate_Adsorption_PO4,Rate_Releasing_NH3,Rate_Releasing_NOx,Rate_Releasing_PO4,HSC_N_Nitrification_NH3,HSC_N_Denitrification_NOx,HSC_O_Nitrification_NH3,HSC_O_Denitrification_NOx,Opt_T_Mineralization_ON,Opt_T_Mineralization_OP,Opt_T_Resuspension_ON,Opt_T_Resuspension_OP,Opt_T_Nitrification_NH3,Opt_T_Denitrification_NOx,Rate_Adjust,Ratio_Tolerance
L2,0.0062113882891438365,0.0029826903110958874,0.00068806277669178,0.00036600751676712443,0.00022857404568492893,0.0007062971130821899,0.002375575718794519,0.000566398511363014,0.0018318778934999984,0.0004709833753150661,0.0001906617575547944,0.00028265430914383837,0.0009457439063424586,5.813916201369896e-05,2.3107234150686634e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1208764178034184e-06,0.005297265699534249,2.872500976027264e-05,0.0020154291816164393,0.0018831791759178072,0.0027067859665890403,7.108691319862871e-05,9.66810680547903e-05,0.0016965522643356194,0.0015962911682465774,0.00016460366525342427,0.0006547120845205497,5.8246483171232615e-05,0.00012105421195890412,4.336792964383411e-05,7.250919201369742e-05,2.423719752739661e-05,0.00010463326276027446,2.0553137404107472e-05,1.6257229109590014e-05,0.00010233421345890521,0.0007256292708698606,0.0006377837822260323,0.0009128446021849333,0.0008644865833150623,0.0018310455399657508,0.00018034806232191633,0.0046845985001712324,0.0018801876458219191,0.003470658116301365,0.0031354315196917824,0.0009485558136164395,0.007168237864828768,0.0016160264090547953,0.002892977821931508,1.037526904110273e-06,0.0002253709253013687,0.006605568831123286,0.00021015343822602725,0.0025566687989383567,0.003824551974698629,0.0012131104579109627,4.587730726027463e-05,0.0006869603139863005,0.0014607679503082173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007011560903260275,0.01585948163381507,7.155522840410927e-05,0.00037295088826027695,0.0006002164016712346,0.0017667937642191784,0.0014789341059863038,0.00544940880589726,0.013153396101226029,0.009834907439445205,0.04108663370231507,0.004579987314657532,0.005858377882602741,0.013754315580863014,0.007874608686636989,0.00987076134507534,0.02064904677429452,7.053064070547949e-05,0.000151588422082191,3.418403054792794e-06,8.610999189040789e-05,0.0029775136309931525,0.002791884388643835,0.002545875151705479,0.02093424622495891,1.8647538431510294e-05,2.5424862698629784e-05,0.0,0.0
L3,0.006221486029253428,0.002369667576102738,0.0006811906067671232,0.000444718464102743,0.0002342581084931513,0.0007112556143219206,0.0022445884482945226,0.0013618162226712316,0.002905932046253422,0.0004459711844794523,0.0002115686855137015,0.0003359032739383552,0.0009444182796780736,0.00015672680358903932,1.6643884869859978e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.599017732875586e-06,0.006749020546849315,2.5756253650684094e-05,0.0019916983107328796,0.002973943776493145,0.0027749178094315036,6.787640782191682e-05,7.829137181507238e-05,0.002016439578739722,0.0018723336942945167,0.00015605230444520638,0.0007079271675616433,5.076048160273777e-05,8.295575178082319e-05,3.92918473356158e-05,7.322666112328717e-05,2.6419138623289028e-05,0.00015796875152054453,6.001736260273852e-06,2.2730950232876818e-05,0.00013195834896575844,0.0006426935673082229,0.0010956168201575367,0.00043255520136986213,0.0008563665454520569,0.001533186686547947,0.00013668732503424727,0.004304320246068491,0.0017296467961438334,0.00397081980419178,0.0027418898738424693,0.0008085469327602776,0.008365698532089046,0.0015193279827123251,0.005001421025486302,3.2475702739899817e-07,0.00026283840154109626,0.00763368985824658,0.0006218445006986318,0.0023214954955479428,0.004026156887465757,0.0013724029003356153,5.332636378767236e-05,0.0006969768342328767,0.0014888027853287693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007220180209068494,0.01678323751411644,3.272044403425187e-05,0.0004277556380547965,0.0004032883688630205,0.002115310423150683,0.0012730564210273964,0.004976143851410961,0.015132500679369864,0.008272197066349317,0.04562685765184931,0.004050071034184932,0.005480698664712328,0.015872905038554794,0.008385124128986298,0.009187117193424656,0.02363632376872603,5.010348606164796e-05,0.00012805914143835433,7.827688561679644e-07,7.186262326027226e-05,0.0028891356740136996,0.002716555562794521,0.00248704774923288,0.02302366167978082,8.700736253428651e-06,6.437081835613049e-06,0.0,0.0
L4,0.005745500422767125,0.003639750778191779,0.0006531148726027427,0.0005615205360616404,0.000267300647198631,0.00040386973520547826,0.001490987705815071,0.0005964656728972584,0.0017195577820890418,0.0004850547094109616,0.00010081427126712519,0.000349855217671235,0.0013720043046164382,0.00016633218004109512,3.14615199863027e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.447397671236957e-07,0.0025591443633698626,7.893171575330468e-07,0.0017844837409726109,0.0022525834934178086,0.0028685893368287658,0.00010572489702739794,9.922966027397527e-05,0.001653815915691783,0.0017280675097808246,0.000175036866863015,0.00048359048360958873,5.3299282849316376e-05,0.00010562176212329009,3.461472696575439e-05,6.81767372876688e-05,2.0958406315067832e-05,0.00011755518653425276,8.627587952055949e-06,3.141470502739715e-05,0.00010927011602054723,0.0004193298868972593,0.0003702574323493148,0.0010550486312876721,0.0012592654825068442,0.0025331024175000018,0.00023473682093835612,0.005617292887623288,0.0014781421557945142,0.0036246281328287688,0.004747730886390413,0.0012122220276986335,0.008848901877328775,0.002279769345349316,0.0016709607491506844,5.106102742968161e-09,0.0002612248770821924,0.005828358724808217,0.000137186028369861,0.003350503332513696,0.0030627265149041102,0.0013329485729794545,7.66803104178068e-05,0.0005569657235342467,0.0012686780410479485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007540962200095894,0.018108184771869863,0.000207588284732879,0.0001072025883082172,0.0008365671562808201,0.0011115700297397286,0.0012611116492602722,0.007983464927773975,0.012864960411452056,0.005413197517972605,0.03230035052490411,0.002414423126095893,0.005442114909554806,0.010226316234554795,0.005115314326808224,0.0069773714349863,0.015512597778883561,0.00015155800126027716,0.00024356047836986318,7.778875212329817e-06,2.8504278472602125e-05,0.0020479394247945237,0.0026536030064589046,0.0017614433683972592,0.016711226745020548,4.0276701945202944e-05,1.8526847732877303e-05,0.0,0.0
L6,0.00306471654632877,0.001790968887246574,0.0007189854522328721,0.0002479053021164342,0.00021790360717808172,0.00015722085904109703,0.0008443322666095906,0.0006263562272260292,0.0009072869738630137,0.00030051707375342636,0.00027736282428082244,0.0002808787790753442,0.0005023936955137005,0.00015001202003424698,6.811651347945384e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.369130139434077e-09,6.744764383488297e-08,8.7027020548823e-08,0.0014108545651643812,0.001185857979986302,0.0016237074673767127,0.00010907930130821756,0.00024787897900684997,0.00046997620773287765,0.000626198213260277,0.00015762510978082128,0.0004032644192876734,3.1142156794518315e-05,6.0848529143836106e-05,1.8249619068496594e-05,3.353720958904106e-05,1.4439386650686066e-05,3.4105514157532853e-05,1.0382695294518327e-05,2.175154954109429e-05,5.5015029904110534e-05,0.00013526721708904146,0.0001718375288835625,0.00023202268832876808,1.0389699863012827e-05,0.0012157826755479454,3.9780847253424735e-05,0.0027877702079794502,0.0012620039604863016,0.00036284995791780643,0.0009800179659246579,0.0001515818248150674,0.003848578895958905,0.0013797219432123316,1.0453432191916482e-07,4.984910959796724e-09,0.00014741092970547865,0.0029299946201917786,0.00024482794290410953,0.001488891133849314,0.000496329494260275,0.00028025843100000015,0.0001344467905890415,0.00016393106319863136,0.0004273247090136988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029325619656575355,0.015595594602678087,1.7209079794517148e-06,1.9240027397261772e-05,7.929336941095555e-05,4.6743982972602576e-05,0.00033671966194520674,0.002517455625349315,0.010972768111582192,0.0002390356314863027,0.019288879353965758,0.0006110910493150697,0.0014447545369726037,0.007162825317595887,0.0007577960195137002,0.0001579741130958901,0.005222201741958904,8.953169178017861e-08,1.1510807527396853e-05,6.880484589054554e-07,3.1267879726016613e-06,0.0002917139750958908,0.00254423246930137,1.357637067123359e-05,0.007497214230760277,9.17719520535619e-08,4.503229726024981e-07,0.0,0.0
L7,0.00045459492737671286,0.001306943011952054,0.0004902230615547945,2.1361673301367907e-05,0.0005432070818630122,0.00031670574402739994,0.00031952332530822095,0.0010747578316232871,0.001082717280760271,0.00012265982778082344,0.0002950020535479449,0.00029867477013698345,0.00016654478056849498,0.00011255726276712319,4.884142900684666e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1724657522204502e-09,0.00023504782386986385,1.85588815067219e-07,0.0011340011084178107,0.001822304881089035,0.0025011677724863014,5.537741568491803e-06,0.0001974344845684935,0.00019227683157534313,0.0017346860824109587,0.0001634777773150701,0.0001705784665273974,1.1447602109588293e-05,6.204107934246853e-05,9.134356828767454e-06,3.8495035787672023e-05,7.695620999999697e-06,0.0001620347416438346,1.3571233972607764e-06,1.4685859952053925e-05,9.587845368493187e-05,1.632970432191754e-05,0.0001073756994041092,2.45010187191759e-05,1.0160389787674042e-05,6.705199986986157e-05,0.00016167366741780894,0.001588229133493152,0.0003051306906575326,0.0029000750386027406,0.0026851229151780833,0.0004649428545205489,0.007873013083561644,0.0016018651851986317,0.00012497978831506988,3.249760272211813e-09,0.0003322833167260279,0.004643955533034243,0.00043896546322602637,0.002458187225958904,0.0007956512835205478,0.0008416310340000005,4.0088525527398826e-05,2.6182917842466728e-05,0.000975635663383561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006192808308205481,0.014399958388541096,5.2257066821918913e-05,7.701203845890295e-05,0.0005030379094726015,0.0004959710230068488,0.0010262693461438298,0.005077501347863013,0.010477657751445206,0.001972163430554794,0.023675392332657533,0.0001222844653767109,0.002866192223609587,0.006808426958609589,0.003041222947479456,0.0011070370686369873,0.00792272489270548,3.3423705431505184e-05,0.00021479973388356072,6.855373582193188e-06,2.5189774746577336e-05,0.0013598620963150695,0.0021056045216301367,0.0009592076545479417,0.01103539925609589,3.074756001369798e-05,2.5834122472605205e-05,0.0,0.0
L10,0.0007789331422397266,0.0013665204650342463,0.000382291846315069,6.599664657534139e-05,0.0002542046107808234,0.00019195449959588732,0.0003803419229794527,0.00038949032782191614,0.00024352936255479305,0.00014742074741095953,0.00023625645102739822,0.00021214510954109785,0.00018000630236301331,6.962737267808016e-05,2.7398590335615597e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.253787671264087e-09,4.2355273984070674e-09,4.8075102741188674e-08,0.0015466808179109598,0.0007164763448835618,0.002194876772445206,1.58465982739729e-05,0.0001699048437123291,0.00012847857004109772,0.001526715039595894,8.649203319863095e-05,0.00019987859856164793,2.8184106349316008e-05,5.2234311143833187e-05,1.0286298123287903e-05,2.18336679246586e-05,5.762066917809703e-06,4.838285687671093e-05,1.4185324726028944e-06,1.0449797917805856e-05,5.234809947945345e-05,5.278099350000255e-05,1.0674593075341672e-05,6.455709550684934e-05,3.1853504383539366e-06,0.000187910225157535,0.00010431784744520636,0.000898232924671233,0.0011121451407123278,0.0018203419834109595,0.001534038079397261,0.0003459214862671234,0.0054128589859931495,0.0013434355051027424,3.6418561642943825e-09,2.761582192480419e-09,0.0001263179976369872,0.0023758693543561673,3.016295687671253e-05,0.0017247183684657558,3.003719179243622e-09,0.00032116059996575315,3.13116877808225e-05,7.784300757534422e-05,0.0003314813337739721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004436072156136986,0.01387488386971233,0.00013614063203424534,0.00019966062823972565,0.0006502492611575336,0.0001949487183287676,0.0005256601973219184,0.0032110780070136987,0.01054245184339726,0.0012764069146027394,0.02160505218579452,0.000267066562397262,0.001788059781164384,0.006085590693678081,0.0016774694216917796,0.0001151529183493153,0.0051222619602328745,1.0249525520548064e-05,0.000151148936732877,4.503207472602894e-06,2.327219176352299e-09,0.000833144827972602,0.002029253945547943,0.00044873394772602796,0.008836158988849315,3.3429503404109035e-05,7.853243328082024e-05,0.0,0.0
L11,0.0031434852980547954,0.004133406567965748,0.0006101678318219182,0.00021057590188356092,0.0003542972531506859,0.0006314636946780795,0.001388928332732878,0.0013318226159383557,0.001038074213630133,0.0003431359278698649,0.00018327664522602483,0.00021109463286986697,0.001075824576328765,1.376236793835554e-05,2.9789928184928882e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0289350684837203e-07,0.003366151169136988,1.6248223664383673e-05,0.002077287216657537,0.0011843883300410984,0.001787577294226027,2.5440397541096234e-05,8.422731723287608e-05,0.0009342417114041074,0.0017250726049109575,6.361981027397306e-05,0.0004887728621301375,8.672213769862372e-05,0.00025998334639725613,1.4040314424656314e-05,5.5095830897259796e-05,1.6984066890409324e-05,8.345081007534961e-05,3.4180534109594415e-06,1.9795710349313086e-05,0.00011146823802740011,0.0013673396511780823,0.0004464743267465759,0.000958989318904109,4.305989648630076e-05,0.001405513892897264,0.00017612291704109602,0.0024376324149452074,0.0019051804559589026,0.0018529282232671216,0.0025660041537328778,0.0007679066351095889,0.003971384347746566,0.0014150780364452066,0.002415971912219178,1.8805273973437898e-09,0.00026343459756164654,0.005347758668034243,0.0002778004443493131,0.0023099754514931507,0.00312482496990411,0.001311875795691782,3.070694533561557e-05,0.0007865772980547945,0.001234570227821914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005375247036821916,0.014254596070273975,5.609481863013705e-05,0.00015561072659589192,0.0006836037165410993,0.001709826026280822,0.0015018251574657536,0.005790814695863016,0.01414981692620548,0.010867700750178084,0.039355255120541104,0.003920616315000003,0.006690461420650684,0.012508313583123288,0.007559491331897254,0.00995998140172603,0.018662577910828766,0.0001257437413972573,0.0001402634604452095,4.0083948287635705e-06,5.4104263643832984e-05,0.0024394683115068474,0.002567708077191784,0.002152891319999996,0.01889844449987671,2.2942824657533377e-05,8.083923349316283e-06,0.0,0.0
L12,0.01005491993954795,0.003237385833945206,0.0009676379492465775,0.0006351397218287605,0.0003381772612602714,0.0006993130749452113,0.0024808408835753464,0.00196192217782192,0.003726278451575338,0.0005287135716986291,0.00041981636611643935,0.0005024888177054821,0.0011723101251575354,0.0007415198551027401,1.2873580171229469e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.495123575341947e-06,0.008714297426157536,4.3574142246576626e-05,0.0019884143875273973,0.0023051072990958863,0.003006992793780819,0.00015355152963698673,9.205082258219458e-05,0.002872820385863014,0.0017087730726164398,0.0002660634931027408,0.0009729167182397269,6.18746554109558e-05,0.00010205942354793986,3.9592186910957906e-05,8.712849417123426e-05,4.5561640027393754e-05,0.00019457463891780477,4.12107261164391e-05,5.019921534246516e-05,0.000138417304623287,0.0006081278165342423,0.0013340381535410968,0.0002406626107808174,0.001123467048924663,0.0018545057267671313,0.000136489953575343,0.004978920537308215,0.0022044377866849356,0.004243112975075341,0.002648429702301368,0.0007960892979862989,0.009542790871438358,0.0016450573393767113,0.005528638073835617,1.911204431505288e-06,0.00035837494886301155,0.008484212550308224,0.0010243328358493144,0.00244554627813699,0.0046252523440890436,0.0014852801371438404,7.546272768493072e-05,0.0012434480099178078,0.0015138255007808234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009061001906691787,0.01925682191786301,5.383315284247549e-05,0.0005881667523698637,0.0006092852081712346,0.002165015264938356,0.001386118468047942,0.005757673197883563,0.01838638572010274,0.012638720818582194,0.05569151688563014,0.004504736319082198,0.005609525926335615,0.019059301175116443,0.00931686667432191,0.009643717515965752,0.026543742615287674,6.52044254794571e-05,9.574612890411128e-05,1.486917328766095e-06,8.61667255273953e-05,0.003221261070369853,0.0030658174930068517,0.003165536358986297,0.02769678914780137,1.0530209897260555e-05,1.222219950000247e-05,0.0,0.0
L14,0.0004588471757260266,0.0008569815234863055,0.00042512123741095703,5.333518528766925e-05,0.00047613645692465994,0.00035019938065068305,0.00020286208015068012,0.001522690459006849,0.0024761208814109564,0.00021213134983561803,0.00010884070913013845,0.00030706969366438525,6.619964389725924e-05,2.1514708006849757e-05,3.2505298191780155e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.983746575316529e-07,0.0009030900620753439,1.7925889725881743e-07,0.0010715267700000027,0.00130272389640411,0.0021893121937191797,5.3838285678082293e-05,3.128651543835409e-05,0.0005082905123013669,0.0013581403770000044,0.00010686386408218992,0.0005053144108767158,2.191753160959509e-05,6.976902513698745e-05,4.008983280824217e-06,3.080677853424759e-05,8.05577681506622e-06,0.00013970546081506645,3.6479578767140836e-06,1.2132243945205861e-05,0.00011082732733561684,7.737465881506788e-05,0.0005622530911849311,0.00011240633718493012,4.5793042993148064e-05,0.00014291361071917867,0.00017627144206849298,0.0014018234885342462,0.00033967279512328336,0.0023405288997534234,0.0015991087965410954,0.0004132075048561637,0.005339113134739723,0.0008131000460753409,0.0007768806404794511,3.105123286490166e-09,0.0001339864105890422,0.004903198607938358,0.00048694449230136895,0.0014279676268150702,0.0003500579216095892,0.0005101741271506833,6.723850150684931e-05,0.00019581722498630285,0.0011993135134109607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00412491899085616,0.011600656162253427,1.536184068494156e-06,9.459514130137191e-06,0.00046868132030136874,0.0012014141172123306,0.0012728526971712319,0.005237743704123287,0.014852442638260277,0.0021035149533287683,0.02288770418044521,0.0020224522566369856,0.0034275207509999995,0.0062464199290890405,0.0026399369231506777,0.0017853757159109584,0.008558003198157534,1.7754024801372232e-05,7.817016750000252e-05,1.3029987328813663e-06,1.0453931589040916e-05,0.0012236183077602744,0.0024325761393082165,0.0010360853575890402,0.01099803373900685,8.4947439246585e-06,5.151316849314218e-06,0.0,0.0
L15,0.00948329115834247,0.005952386931390411,0.0012652429290000004,0.0008846639940205493,0.0004566928511506887,0.0006933389436575373,0.002232452164006849,0.0011159174097328738,0.00396262786261644,0.0005013336675616538,0.00022968822032876714,0.0004329890443150656,0.0015589098719999983,0.0002706640385547939,3.459092455479562e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6929114109598694e-06,0.00657472158918493,4.135692848630558e-05,0.0022508538468082213,0.002367510946232873,0.0038595768801780806,0.0001910978392808239,0.00013729173930821767,0.00199961883885617,0.0015084735108698544,0.0003592996310342482,0.0005712606024862986,6.844951386986587e-05,0.00010944292282191918,4.997534136986061e-05,9.416223795205361e-05,3.892052858219188e-05,0.00014834078363013537,1.4367668691780358e-05,4.6444557575339284e-05,0.00013407511175342188,0.0005956553297876704,0.000941280252267125,0.000414513133664381,0.001554248120404113,0.0027557709774041123,0.0002914000069520565,0.0076266833432054775,0.0022143535401575364,0.0036562044806095944,0.004363186240089038,0.0015026579439041102,0.009616422444349314,0.002161971689280821,0.004864774079835618,5.238033082223016e-07,0.00036284867989726623,0.009539169855349314,0.0005324592213904126,0.003129752760349322,0.005228392805856163,0.0017487027460479452,8.52671755890412e-05,0.0012623479580958898,0.0015983791320821907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009809087647068497,0.019823797922178085,0.00015830347495890371,0.0007632822671712365,0.0007778738862123296,0.0019729629271849343,0.0013690930434246532,0.008785168022301367,0.016310429075835613,0.01060520614968493,0.046527751555664396,0.004594901208534249,0.0053357112255000005,0.016481220635301372,0.008170121063938354,0.008992540897150687,0.026157573178191777,0.00016583931776711523,0.00018582594657534177,5.423124369866288e-06,0.00014068034075342527,0.003194061059506848,0.0030477688833287697,0.002996939325267126,0.02565033840180822,3.751890682190838e-05,4.5414612595892113e-05,0.0,0.0
